Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Elden Ring,PS5,2022,Action,Bandai Namco Entertainment,0,0,0,0,13.4,96,83,7.6,8926,From Software,M
LEGO Star Wars: The Skywalker Saga,XB,2022,Adventure,Warner Bros. Interactive,0,0,0,0,0,82,51,8.4,71,TT Games,E10+
Pokemon Legends: Arceus*,Switch,2022,Role-Playing,Nintendo,0,0,0,0,0,83,116,8.2,3307,Game Freak,E
Horizon II: Forbidden West,PS5,2022,Adventure,Sony (Corp),0,0,0,0,0,88,125,8.0,8722,Guerrilla,T
MLB: The Show 22,XB,2022,Sports,Multiple Video Game Manufacturers,0,0,0,0,0,80,15,5.5,22,Sony Interactive Entertainment San Diego Studio,E
Gran Turismo 7,PS5,2022,Racing,Sony (Corp),0,0,0,0,0,87,119,2,10545,PolyPhony Digital,E
Call of Duty: Vanguard,PS5,2021,Action,Activision Blizzard (Corp),0,0,0,0,0,73,68,3.5,1332,Sledgehammer Games,M
Kirby and the Forgotten Land*,Switch,2022,Action,Nintendo,0,0,0,0,0,85,128,8.8,503,Nintendo,E10+
Madden NFL 22,XB,2021,Sports,Electronic Arts,0,0,0,0,0,70,21,0.6,330,EA Tiburon,E
Mario Kart 8*,Switch,2017,Racing,Nintendo,0,0,0,0,0,92,95,8.6,2414,Nintendo,E
